oznam_title,contracting_authority_name,druh_postupu,druh_zakazky,druh_obstaravatela_clean,hlavna_cinnost_clean,main_cpv_code,cpv_others,deli_sa_casti,varianty,typ_obdobie,dlzka_zakazky_cleaned,kriteria_ponuk,el_aukcia,predch_uverejnen_zakazky,ziskanie_podkladov_deadline,ucast_deadline,published_on,bude_sa_opakovat_zakazka,eu_fondy,odoslanie_oznamenia,typ_ceny_oznamenia,estimatedpricecleaned,nazov_typu_oznamenia,miesto_prac_zakazky,estimatedprice_from_result,pocet_prijatych_ponuk,pocet_prijatych_el_ponuk,total_final_value_amount_clean,total_final_value_vat_included,total_final_value_vat_rate,total_final_value_amount_minus_vat,price_ratio,overpriced,druh_obstaravatela_clean_par
Mäso a výrobky z mäsa,Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,15111100-0,"{15113000-3,15130000-8,60000000-8}",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,5/11/2015 12:00:00 AM,5/11/2015 12:00:00 AM,3/30/2015 12:00:00 AM,"",Nie,3/24/2015 12:00:00 AM,Jedna hodnota,213000,vyhlásenie verejnej súťaže (tovary),SK031,213000,6,0,143000,False,"",143000,0.671361502347418,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Malé 5-osé obrábacie centrum,"MASAM, s.r.o.",Otvorená,Tovary,SUBJEKT SÚKROMNÉHO SEKTORA,STROJÁRENSTVO,42611000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),4,Najnižšia cena,Áno,Nie,3/16/2015 12:00:00 AM,3/16/2015 12:00:00 AM,2/6/2015 12:00:00 AM,Nie,Áno,2/2/2015 12:00:00 AM,Jedna hodnota,332800,vyhlásenie verejnej súťaže (tovary),SK023,332800,3,0,332500,False,"",332500,0.999098557692308,no,SUBJEKT SÚKROMNÉHO SEKTORA
„Zavedenie technológie na výrobu betónových tvárnic“,"Plynroz, a.s. Sobrance",Otvorená,Tovary,OSOBA PODĽA §7 ODST.1," STAVEBNO - OBCHODNÁ  FIRMA, KTORÁ MÁ ROZŠÍRENÉ AKTIVITY O KAMENNOSOCHÁRSKE  , DREVÁRSKE  A REŠTAURAČNÉ ČINNOSTI ",42900000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),4,Najnižšia cena,Nie,Nie,11/28/2014 12:00:00 AM,11/28/2014 12:00:00 AM,10/16/2014 12:00:00 AM,Nie,Áno,10/13/2014 12:00:00 AM,Jedna hodnota,225250,vyhlásenie verejnej súťaže (tovary),SK042,225250,3,0,219180,False,"",219180,0.973052164261931,no,paragraf §7
Ozvučovací a kongresový systém - realizácia dodávky a montáže,Kancelária Národnej rady Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,32342410-9,"{32340000-8,45311000-0,51310000-8,72243000-0}",Nie,Nie,v mesiacoch (od zadania zákazky),5,Najnižšia cena,Áno,Áno,5/11/2015 12:00:00 AM,5/11/2015 12:00:00 AM,3/30/2015 12:00:00 AM,"",Nie,3/24/2015 12:00:00 AM,Jedna hodnota,496000,vyhlásenie verejnej súťaže (tovary),SK,496000,3,0,594000,True,20,475200,0.958064516129032,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Servisné služby hardvérovej a softvérovej podpory dátových centier postavených na technológiách výrobcu Hewlett-Packard,Štatistický úrad Slovenskej republiky,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,72250000-2,"{72261000-2,72266000-7,72260000-5,72600000-6,72610000-9,72611000-6,72700000-7,50312100-6,50312300-8}",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Áno,12/7/2015 12:00:00 AM,12/7/2015 12:00:00 AM,10/26/2015 12:00:00 AM,Nie,Nie,10/21/2015 12:00:00 AM,Jedna hodnota,1835893.24,vyhlásenie verejnej súťaže (služby),SK01,1835893.24,3,0,1918296,True,20,1534636.8,0.835907429998489,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"Zberové vozidlo, zberné nádoby, kontajnery",Mesto Galanta,Otvorená,Tovary,REGIONÁLNY ALEBO MIESTNY ORGÁN,SAMOSPRÁVA,34144511-3,{34928480-6},Nie,Nie,v mesiacoch (od zadania zákazky),6,Najnižšia cena,Áno,Nie,9/2/2014 12:00:00 AM,9/2/2014 12:00:00 AM,7/22/2014 12:00:00 AM,Nie,Áno,7/17/2014 12:00:00 AM,Jedna hodnota,430000,vyhlásenie verejnej súťaže (tovary),SK,430000,2,0,513480,True,20,410784,0.955311627906977,no,REGIONÁLNY ALEBO MIESTNY ORGÁN
"Poskytovanie a servis dočasných hygienických zariadení na diaľniciach a rýchlostných cestách v správe Národnej diaľničnej spoločnosti, a.s.","Národná diaľničná spoločnosť, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA A PREVÁDZKA DIAĽNIC A RÝCHLOSTNÝCH CIEST",24955000-3,"{90430000-0,50760000-0}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,8/17/2015 12:00:00 AM,8/17/2015 12:00:00 AM,7/6/2015 12:00:00 AM,Nie,Nie,6/30/2015 12:00:00 AM,Jedna hodnota,300000,vyhlásenie verejnej súťaže (tovary),SK0,300000,2,0,300000,False,"",300000,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Grafické spracovanie, preklad a tlač publikácií",UNIVERZITA J. SELYEHO,Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,79800000-2,"{79530000-8,79550000-4,79971000-1,79920000-9,60000000-8,30199700-7}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Nie,2/15/2016 12:00:00 AM,2/15/2016 12:00:00 AM,12/31/2015 12:00:00 AM,"",Nie,12/30/2015 12:00:00 AM,Jedna hodnota,225000,vyhlásenie verejnej súťaže (služby),SK023,225000,1,0,498418.08,True,20,398734.464,1.77215317333333,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Trvanlivé potraviny,Ústredná vojenská nemocnica SNP Ružomberok - fakultná nemocnica,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,15000000-8,"{15131310-1,15240000-2,15321000-4,15331130-7,15331400-1,15332200-6,15333000-1,15400000-2,15600000-4,15820000-2,15830000-5,15840000-8,15842400-6,15850000-1,15860000-4,15870000-7,15880000-0,15890000-3,15900000-7}",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,5/13/2015 12:00:00 AM,5/13/2015 12:00:00 AM,4/2/2015 12:00:00 AM,"",Nie,3/31/2015 12:00:00 AM,Jedna hodnota,256000,vyhlásenie verejnej súťaže (tovary),SK031,256000,5,0,128800,False,"",128800,0.503125,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Služby mobilného operátora,Ministerstvo spravodlivosti Slovenskej republiky,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,64212000-5,"{64216110-7,64213000-2,64214000-9,32250000-0,32523000-5}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Nie,9/18/2014 12:00:00 AM,9/18/2014 12:00:00 AM,8/6/2014 12:00:00 AM,"",Nie,8/1/2014 12:00:00 AM,Jedna hodnota,600000,vyhlásenie verejnej súťaže (služby),SK0,600000,2,0,600000,False,"",600000,1,yes,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Oftalmologiká,Nemocnica Poprad a. s.,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,33662100-9,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,5/27/2015 12:00:00 AM,5/27/2015 12:00:00 AM,4/13/2015 12:00:00 AM,Áno,Nie,4/8/2015 12:00:00 AM,Rozpätie hodnôt,593116,vyhlásenie verejnej súťaže (tovary),SK041,686232,5,0,594220.9,False,"",594220.9,1.0018628733671,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Dodávka elektrickej energie,ŠTÁTNE LESY TATRANSKÉHO NÁRODNÉHO PARKU TATRANSKÁ LOMNICA,Otvorená,Tovary,"LESNÉ HOSPODÁRSTVO, VEREJNOPROSPEŠNÉ ČINNOSTI A OCHRANA PRÍRODY","LESNÉ HOSPODÁRSTVO, VEREJNOPROSPEŠNÉ ČINNOSTI A OCHRANA PRÍRODY",09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Nie,7/6/2015 12:00:00 AM,7/6/2015 12:00:00 AM,5/26/2015 12:00:00 AM,Nie,Nie,5/21/2015 12:00:00 AM,Jedna hodnota,300000,vyhlásenie verejnej súťaže (tovary),SK041,300000,4,0,300000,False,"",300000,1,yes,"LESNÉ HOSPODÁRSTVO, VEREJNOPROSPEŠNÉ ČINNOSTI A OCHRANA PRÍRODY"
Upratovacie služby 2016 - 2020,Krajský súd v Košiciach,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,90910000-9,"{90911200-8,90911300-9}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Nie,Nie,11/16/2015 12:00:00 AM,11/16/2015 12:00:00 AM,10/7/2015 12:00:00 AM,Nie,Nie,10/1/2015 12:00:00 AM,Jedna hodnota,260000,vyhlásenie verejnej súťaže (služby),SK,260000,3,0,274079.8,True,20,219263.84,0.843322461538462,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Dodávka elektrickej energie,Fakultná nemocnica Trenčín,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,09310000-5,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,7/28/2014 12:00:00 AM,7/28/2014 12:00:00 AM,6/17/2014 12:00:00 AM,Nie,Nie,6/13/2014 12:00:00 AM,Jedna hodnota,251220,vyhlásenie verejnej súťaže (tovary),SK022,251220,3,0,275340,True,20,220272,0.876809171244328,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Špeciálna hasičská a záchranárska technika I.,Ministerstvo vnútra Slovenskej republiky,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VEREJNÝ PORIADOK A BEZPEČNOSŤ,34144200-0,"{34144210-3,35110000-8,31120000-3,34221300-5,35112000-2}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Áno,4/17/2015 12:00:00 AM,4/17/2015 12:00:00 AM,3/5/2015 12:00:00 AM,Nie,Áno,2/27/2015 12:00:00 AM,Jedna hodnota,36133334,vyhlásenie verejnej súťaže (tovary),SK0,36133334,5,0,36133334,False,"",36133334,1,yes,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Spoločné obstarávanie zemného plynu,Gréckokatolícke arcibiskupstvo Prešov,Otvorená,Tovary,CIRKEVNÁ ORGANIZÁCIA,"REKREÁCIA, KULTÚRA A NÁBOŽENSTVO",09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),12,Najnižšia cena,Áno,Nie,11/26/2015 12:00:00 AM,11/26/2015 12:00:00 AM,10/15/2015 12:00:00 AM,Nie,Nie,10/10/2015 12:00:00 AM,Jedna hodnota,746957,vyhlásenie verejnej súťaže (tovary),SK041,746957,5,0,416046.25,False,"",416046.25,0.556988220205447,no,CIRKEVNÁ ORGANIZÁCIA
Zabezpečenie leteniek a služieb spojených s leteckou prepravou osôb do zahraničia,Ministerstvo kultúry Slovenskej republiky,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,60400000-2,{63510000-7},Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Nie,Áno,11/24/2014 12:00:00 AM,11/24/2014 12:00:00 AM,10/13/2014 12:00:00 AM,Nie,Nie,10/7/2014 12:00:00 AM,Jedna hodnota,650000,vyhlásenie verejnej súťaže (služby),SK0,650000,5,0,650000,True,20,520000,0.8,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Dodávka drviaceho zariadenia na drvenie zeolitu.,"ZEOCEM, a.s.",Otvorená,Tovary,PRÁVNICKÁ OSOBA,VÝROBA OSTATNÝCH NEKOVOVÝCH MINERÁLNYCH VÝROBKOV,43414000-8,"",Nie,Nie,lehoty uskutočnenia,,Iné,Nie,Nie,5/25/2015 12:00:00 AM,5/25/2015 12:00:00 AM,4/13/2015 12:00:00 AM,"",Áno,4/8/2015 12:00:00 AM,Jedna hodnota,265000,vyhlásenie verejnej súťaže (tovary),SK041,265000,3,0,254970,False,"",254970,0.962150943396226,no,PRÁVNICKÁ OSOBA
"Tlačivá pre Všeobecnú zdravotnú poisťovňu, a.s.","Všeobecná zdravotná poisťovňa, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÉ POISTENIE,22820000-4,"{30199710-0,79810000-5}",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Nie,11/9/2015 12:00:00 AM,11/9/2015 12:00:00 AM,9/23/2015 12:00:00 AM,"",Nie,9/21/2015 12:00:00 AM,Jedna hodnota,414500,vyhlásenie verejnej súťaže (tovary),SK0,414500,3,0,461365.4,True,20,369092.32,0.890451917973462,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Ex-post hodnotenie Programu rozvoja vidieka SR pre programovacie obdobie 2007-2013,Ministerstvo pôdohospodárstva a rozvoja vidieka Slovenskej republiky,Otvorená,Služby,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,VŠEOBECNÉ VEREJNÉ SLUŽBY,79419000-4,"",Nie,Nie,v mesiacoch (od zadania zákazky),20,Najnižšia cena,Áno,Nie,9/16/2015 12:00:00 AM,9/16/2015 12:00:00 AM,7/24/2015 12:00:00 AM,"",Áno,7/20/2015 12:00:00 AM,Jedna hodnota,485400,vyhlásenie verejnej súťaže (služby),SK010,485400,2,0,458000,False,"",458000,0.943551709929955,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"Projekt ozdravných opatrení v lesoch poškodených biotickými, abiotickými a antropogénnymi škodlivými činiteľmi",Urbárske pozemkové spoločenstvo Mengusovce,Otvorená,Služby,§7 ODS.1,OBNOVA LESOV,77230000-1,"",Nie,Nie,v mesiacoch (od zadania zákazky),36,Iné,Nie,Nie,8/31/2015 12:00:00 AM,8/31/2015 12:00:00 AM,7/22/2015 12:00:00 AM,Nie,Áno,7/16/2015 12:00:00 AM,Jedna hodnota,225825,vyhlásenie verejnej súťaže (služby),SK041,225825,2,0,218538.28,False,"",218538.28,0.967732890512565,no,paragraf §7
Technológie CAD/CAE,Žilinská univerzita v Žiline - Rektorát,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,VZDELÁVANIE,48321000-4,"",Nie,Nie,v mesiacoch (od zadania zákazky),3,Najnižšia cena,Áno,Áno,3/17/2015 12:00:00 AM,3/17/2015 12:00:00 AM,2/4/2015 12:00:00 AM,Nie,Áno,1/29/2015 12:00:00 AM,Jedna hodnota,1372000,vyhlásenie verejnej súťaže (tovary),SK031,1372000,4,0,1574000,True,20,1259200,0.917784256559767,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Lieky ATC skupiny B02BD02,"Všeobecná zdravotná poisťovňa, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÉ POISTENIE,33621000-9,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,11/5/2015 12:00:00 AM,11/5/2015 12:00:00 AM,9/29/2015 12:00:00 AM,Nie,Nie,9/25/2015 12:00:00 AM,Jedna hodnota,432000,vyhlásenie verejnej súťaže (tovary),SK0,432000,1,0,431975,False,"",431975,0.99994212962963,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Poskytovanie štandardnej a rozšírenej technickej podpory technológií IBM,"Sociálna poisťovňa, ústredie",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,SOCIÁLNE POISTENIE,72261000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),24,Najnižšia cena,Áno,Áno,11/13/2014 12:00:00 AM,11/13/2014 12:00:00 AM,10/16/2014 12:00:00 AM,Nie,Nie,10/13/2014 12:00:00 AM,Jedna hodnota,800000,vyhlásenie verejnej súťaže (služby),SK01,800000,2,0,953400,True,20,762720,0.9534,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Revitalizácia zdroja chladu pre izbovú časť bloku D budovy Národného ústavu srdcových a cievnych chorôb, a.s. Bratislava.","Národný ústav srdcových a cievnych chorôb, a.s.",Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,ZDRAVOTNÍCTVO,42513200-7,{51540000-9},Nie,Nie,v mesiacoch (od zadania zákazky),3,Najnižšia cena,Áno,Nie,6/1/2015 12:00:00 AM,6/1/2015 12:00:00 AM,4/21/2015 12:00:00 AM,"",Nie,4/16/2015 12:00:00 AM,Jedna hodnota,440000,vyhlásenie verejnej súťaže (tovary),SK01,440000,2,0,404990,False,"",404990,0.920431818181818,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Obstaranie lesníckych služieb na r. 2015 - 2018.,"LESY MESTA BREZNO, s.r.o.",Otvorená,Služby,PRÁVNICKÁ OSOBA.,LESNÍCTVO.,77230000-1,{03450000-9},Nie,Nie,lehoty uskutočnenia,,Najnižšia cena,Nie,Nie,6/1/2015 12:00:00 AM,6/1/2015 12:00:00 AM,4/20/2015 12:00:00 AM,"",Áno,4/15/2015 12:00:00 AM,Jedna hodnota,697000,vyhlásenie verejnej súťaže (služby),SK032,697000,4,0,859332.12,False,"",859332.12,1.23290117647059,yes,PRÁVNICKÁ OSOBA.
Združená dodávka zemného plynu.,Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,OBRANA,09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,10/3/2014 12:00:00 AM,10/3/2014 12:00:00 AM,8/21/2014 12:00:00 AM,Nie,Nie,8/15/2014 12:00:00 AM,Jedna hodnota,4680000,vyhlásenie verejnej súťaže (tovary),SK032,4680000,3,0,3241666.67,False,"",3241666.67,0.692663818376068,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
Združená dodávka zemného plynu.,Ministerstvo obrany Slovenskej republiky -  Akvizičná agentúra,Otvorená,Tovary,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV,OBRANA,09123000-7,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Áno,Áno,11/10/2014 12:00:00 AM,11/10/2014 12:00:00 AM,10/14/2014 12:00:00 AM,Nie,Nie,10/9/2014 12:00:00 AM,Jedna hodnota,4680000,vyhlásenie verejnej súťaže (tovary),SK032,4680000,3,0,3241666.67,False,"",3241666.67,0.692663818376068,no,MINISTERSTVO ALEBO INÝ ŠTÁTNY ORGÁN VRÁTANE JEHO REGIONÁLNYCH ALEBO MIESTNYCH ÚTVAROV
"Rozšírenie výrobných operácií v spoločnosti PMR, s.r.o. obstaraním CNC elektromechanickej ohýbačky plechu","P M R , s.r.o.",Otvorená,Tovary,OBSTARÁVATEĽ PODĽA §7,OBCHODNÁ SPOLOČNOSŤ,42633000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),4,Iné,Áno,Nie,4/20/2015 12:00:00 AM,4/20/2015 12:00:00 AM,3/13/2015 12:00:00 AM,Nie,Áno,3/10/2015 12:00:00 AM,Jedna hodnota,293060,vyhlásenie verejnej súťaže (tovary),SK03,293060,2,0,292500,True,20,234000,0.798471302804886,no,paragraf §7
Zneškodňovanie komunálnych odpadov z mesta Sereď skládkovaním,Mesto Sereď,Otvorená,Služby,REGIONÁLNY ALEBO MIESTNY ORGÁN,SAMOSPRÁVA,90513200-8,"",Nie,Nie,lehoty uskutočnenia,,Iné,Áno,Nie,7/9/2015 12:00:00 AM,7/9/2015 12:00:00 AM,6/4/2015 12:00:00 AM,Nie,Nie,5/29/2015 12:00:00 AM,Jedna hodnota,598557.6,vyhlásenie verejnej súťaže (služby),SK021,598557.6,1,0,718358.4,True,20,574686.72,0.960119326861776,no,REGIONÁLNY ALEBO MIESTNY ORGÁN
Zabezpečenie stravovacích služieb,Nemocnica Alexandra Wintera n.o. Piešťany,Otvorená,Služby,"PRÁVNICKÁ OSOBA, KTORÁ SPĹŇA POŽIADAVKY PODĽA ODSEKU 2",ZDRAVOTNÍCTVO,55523000-2,"",Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Nie,8/4/2015 12:00:00 AM,8/4/2015 12:00:00 AM,6/23/2015 12:00:00 AM,"",Nie,6/18/2015 12:00:00 AM,Jedna hodnota,369000,vyhlásenie verejnej súťaže (služby),SK021,369000,3,0,369000,False,"",369000,1,yes,"PRÁVNICKÁ OSOBA, KTORÁ SPĹŇA POŽIADAVKY PODĽA ODSEKU 2"
Technické vybavenie a softvér,DataCentrum,Otvorená,Tovary,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,INFORMAČNÉ CENTRUM,30210000-4,"{30213100-6,30213200-7,30213300-8,30231000-7,30231200-9,30231300-0,30231310-3,30232000-4,30233000-1,30237200-1,30237280-5,30237480-7,31710000-6,32422000-7,38000000-5,38342000-4,38634000-8,48000000-8,48100000-9,48980000-1,48983000-2,48820000-2,32580000-2,30211100-2,32424000-1,31154000-0,60000000-8,90510000-5}",Nie,Nie,v mesiacoch (od zadania zákazky),48,Iné,Áno,Áno,6/15/2015 12:00:00 AM,6/15/2015 12:00:00 AM,5/18/2015 12:00:00 AM,Nie,Áno,5/12/2015 12:00:00 AM,Jedna hodnota,9764000,vyhlásenie verejnej súťaže (tovary),SK01,9764000,4,0,9747850.21,False,"",9747850.21,0.998345986276116,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Tlačiarenské služby.,Slovenské národné divadlo,Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"REKREÁCIA, KULTÚRA A NÁBOŽENSTVO",79810000-5,"{79821000-5,79823000-9,79971200-3,79921000-6}",Nie,Nie,v dňoch (od zadania zákazky),0.133333333333333,Najnižšia cena,Nie,Nie,5/12/2015 12:00:00 AM,5/12/2015 12:00:00 AM,4/1/2015 12:00:00 AM,Nie,Nie,3/27/2015 12:00:00 AM,Jedna hodnota,420000,vyhlásenie verejnej súťaže (služby),SK010,420000,5,0,420000,False,"",420000,1,yes,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
"Revitalizácia a obnova lesných spoločenstiev, ozdravné opatrenia v lesoch Družstva vlastníkov lesov obce Staškov",Družstvo vlastníkov neštátnych lesov obce Staškov,Otvorená,Služby,DRUŽSTEVNÉ SPOLOČENSTVO,LESNÉ HOSPODÁRSTVO,77231600-4,{60441000-1},Nie,Nie,v mesiacoch (od zadania zákazky),48,Najnižšia cena,Nie,Nie,7/29/2015 12:00:00 AM,7/29/2015 12:00:00 AM,6/23/2015 12:00:00 AM,Nie,Áno,6/18/2015 12:00:00 AM,Jedna hodnota,510500,vyhlásenie verejnej súťaže (služby),SK031,510500,2,0,612402.14,True,20,489921.712,0.959689935357493,no,DRUŽSTEVNÉ SPOLOČENSTVO
"Monitoring vplyvov diaľnice D4 Bratislava Jarovce - Ivanka sever - Rača, rýchlostnej cesty R7 Bratislava Ketelec - Bratislava Prievoz - Bratislava - Dunajská Lužná - Holice na životné prostredie - povrchová voda, podzemná voda, ovzdušie, hluk, biota pred","Národná diaľničná spoločnosť, a.s.",Otvorená,Služby,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM,"PRÍPRAVA, VÝSTAVBA A PREVÁDZKA DIAĽNIC A RÝCHLOSTNÝCH CIEST",71313450-4,"",Nie,Nie,v mesiacoch (od zadania zákazky),0,Najnižšia cena,Nie,Áno,6/12/2015 12:00:00 AM,6/12/2015 12:00:00 AM,5/15/2015 12:00:00 AM,"",Nie,5/12/2015 12:00:00 AM,Jedna hodnota,320917,vyhlásenie verejnej súťaže (služby),SK010,320917,5,0,191315.5,False,"",191315.5,0.596152587740755,no,ORGANIZÁCIA RIADENÁ VEREJNÝM PRÁVOM
Spotrebný tovar pre výskum v oblasti molekulárnej genetiky,GENETON s.r.o.,Otvorená,Tovary,S.R.O.,VEDA A VÝSKUM,24900000-3,"{33141000-0,19520000-7,24324000-1,33696600-1,24320000-3}",Nie,Nie,v mesiacoch (od zadania zákazky),36,Najnižšia cena,Áno,Áno,9/5/2014 12:00:00 AM,9/5/2014 12:00:00 AM,7/24/2014 12:00:00 AM,"",Áno,7/21/2014 12:00:00 AM,Jedna hodnota,795000,vyhlásenie verejnej súťaže (tovary),SK01,795000,2,0,757250,False,"",757250,0.95251572327044,no,S.R.O.
